Unnamed: 0,1,2,3,4,5,6,7,8,9,10
CECS,4,1,3,4,5,5,4,3,5,2
CECS,5,1,5,3,5,1,5,1,5,1
CECS,5,1,5,1,5,1,4,1,5,1
CECS,4,2,5,3,3,2,5,1,5,3
CECS,4,2,4,2,4,2,4,2,4,2
CECS,4,2,3,3,3,2,4,2,4,4
CECS,4,1,4,5,5,2,4,1,4,4
CECS,4,1,4,2,4,2,4,1,9,4
CECS,4,2,4,2,4,3,4,2,3,3
CECS,4,1,4,1,4,2,4,1,4,1
CECS,5,1,5,1,5,1,3,3,3,3
CECS,3,2,5,2,4,2,3,1,4,4
CECS,5,1,5,1,5,1,4,1,4,1
CECS,4,2,4,2,4,2,3,1,4,3
CECS,5,1,5,1,5,2,5,1,5,1
CECS,4,2,4,3,4,2,4,2,3,2
CECS,4,2,4,5,4,1,4,1,4,4
CECS,4,1,5,1,4,1,5,1,4,2
CECS,4,1,5,1,5,1,5,1,4,1
CECS,4,2,4,2,4,2,4,2,4,2
CECS,4,2,4,3,4,2,4,2,4,4
CECS,5,1,5,1,5,1,5,1,5,1
CECS,4,1,3,4,3,5,3,2,4,3
CECS,4,2,4,2,4,2,4,1,4,2
CECS,4,3,5,4,5,1,5,1,5,2
CECS,4,1,4,1,4,2,4,1,4,1
CECS,5,1,5,1,5,1,3,3,3,3
CECS,3,2,5,2,4,2,3,1,4,4
CAS,5,1,5,1,5,1,4,1,4,1
CAS,4,2,4,2,4,2,3,1,4,3
CAS,5,1,5,1,5,2,5,1,5,1
CAS,4,2,4,3,4,2,4,2,3,2
CAS,4,2,4,5,4,1,4,1,4,4
CAS,4,1,5,1,4,1,5,1,4,2
CAS,4,1,5,1,5,1,5,1,4,1
CAS,4,2,4,2,4,2,4,2,4,2
CAS,4,1,5,1,5,1,5,1,4,1
CAS,4,2,4,2,4,2,4,2,4,2
CAS,4,2,4,3,4,2,4,2,4,4
CAS,5,1,5,1,5,1,5,1,5,1
CAS,4,1,3,4,3,5,3,2,4,3
CAS,4,2,4,2,4,2,4,1,4,2
CAS,4,3,5,4,5,1,5,1,5,2
CAS,4,1,4,1,4,2,4,1,4,1
CBA,5,1,5,1,5,1,3,3,3,3
CBA,3,2,5,2,4,2,3,1,4,4
CBA,5,1,5,1,5,1,4,1,4,1
CBA,3,2,5,2,4,2,3,1,4,4
CBA,5,1,5,1,5,1,4,1,4,1
CBA,4,2,4,2,4,2,3,1,4,3
